report_id,report_text,sif_potential,activity,hazard,barrier_failure,life_saving_rule
1464,"During the walk-down, an equipment operator observed dust accumulation in the work area while running the equipment. Follow-up identified a PPE compliance issue.",MEDIUM,Equipment Operation,Noise exposure,PPE compliance issue,
1465,The shift handover mentioned that a material handler observed items overhanging the edge of the overhead shelf while stacking the pallets. The observation was attributed to inadequate tool control.,HIGH,Material Handling,Falling object,Tool control inadequate,
1466,An inspection noted that a technician used the approved anchor point when working during the scaffolding work.,LOW,Work at Height,Fall from height,No barrier failure / control effective,Working at Height
1467,A worker reported that a lifting supervisor noticed the load swinging over the occupied area during the lifting operation. This was linked to the pre-lift inspection was skipped.,HIGH,Lifting Operation,Dropped load,Lifting inspection failed,Lifting Operations
1468,a worker flagged that the workbench was cluttered during the warehouse operation. This was linked to a previously identified corrective action was not closed out.,MEDIUM,Storage,Poor housekeeping condition,Corrective action not completed,
1469,an operator confirmed the fire watch and extinguishers were in place before during gas leak response.,LOW,Gas Leak Response,Fire or explosion,No barrier failure / control effective,Toxic Gas
1470,a worker moved along the edge of the platform with no fall-arrest system in use during the scaffolding work. Follow-up identified fall protection was not in place.,HIGH,Work at Height,Fall from height,Fall protection absent,Working at Height
1471,"During the walk-down, a chemical handler found the chemical container unlabeled during chemical handling. Follow-up identified a PPE compliance issue.",MEDIUM,Chemical Handling,Chemical exposure,PPE compliance issue,Toxic Gas
1472,A near miss occurred when a cleaner verified the walkway was clear after the task while clearing the workspace.,LOW,Housekeeping,Slip hazard,No barrier failure / control effective,
1473,"During the walk-down, a technician worked in the area while the toxic-gas reading exceeded limits during leak investigation. Follow-up identified a lapse in permit control.",HIGH,Gas Leak Response,Hazardous atmosphere,Permit control failed,Toxic Gas
1474,A supervisor observed that an electrician flagged that the residual charge was not discharged during circuit repair. The observation was attributed to the required inspection was not completed.,MEDIUM,Electrical Maintenance,Electric shock or arc flash,Inspection not completed,Energy Isolation
1475,An inspection noted that a technician confirmed that fall protection was inspected and in place before during the scheduled inspection.,LOW,Equipment Inspection,Fall from height,No barrier failure / control effective,Working at Height
1476,a worker started elevated work although the platform had no edge protection during elevated maintenance. The event traced back to fall protection was not in place.,HIGH,Work at Height,Fall from height,Fall protection absent,Working at Height
1477,A permit review found that a supervisor used the harness without inspecting it while checking PPE compliance.,MEDIUM,PPE,PPE deficiency,Equipment condition degraded,
1478,a storekeeper confirmed the work area was clean after the task while stacking the materials.,LOW,Storage,Poor housekeeping condition,No barrier failure / control effective,
1479,A worker reported that a maintenance fitter transferred the chemical while the containment bund was damaged while servicing the chemical line. It was noted that a lapse in permit control.,HIGH,Chemical Maintenance,Chemical exposure,Permit control failed,Toxic Gas
1480,a process operator observed a minor steam leak from the connection while the process unit was running. The finding cited the required inspection was not completed.,MEDIUM,Process Operation,Pressure release,Inspection not completed,Energy Isolation
1481,"During the walk-down, the excavation permit and utility survey were reviewed during excavation.",LOW,Excavation,Utility strike,No barrier failure / control effective,Ground Disturbance
1482,An observation from the safety patrol noted that an operator worked close to the moving parts without guarding while operating the press. This was linked to the energy isolation was not applied.,HIGH,Machine Operation,Entanglement,Energy isolation failed,Line of Fire
1483,a lifting supervisor found that the load weight was not confirmed before the lift while the load was being moved. The finding cited the exclusion zone control was degraded.,MEDIUM,Lifting Operation,Dropped load,Exclusion zone control degraded,Lifting Operations
1484,A supervisor observed that a technician checked that the guards were fit before operating during equipment inspection.,LOW,Equipment Inspection,Equipment failure,No barrier failure / control effective,
1485,An observation from the safety patrol noted that a crane operator observed the crane load passing directly over personnel while the crane was positioning the load.,HIGH,Lifting Operation,Dropped load,Lifting inspection failed,Lifting Operations
1486,a worker noticed the reversing alarm was not audible while the truck was moving.,MEDIUM,Vehicle Movement,Vehicle-pedestrian collision,Traffic segregation control degraded,Line of Fire
1487,"During the walk-down, the team performed a two-person lift following procedure during the material transfer.",LOW,Manual Handling,Musculoskeletal Injury,No barrier failure / control effective,
1488,a safety officer reached the upper level while the guard rail on the records had been removed during the field verification. It was noted that a failure of safe access controls.,HIGH,Safety Verification,Fall from height,Safe access control failed,Working at Height
1489,A supervisor observed that a supervisor observed that the utilities were not marked on the ground while digging the trench. The observation was attributed to the utility verification was not completed.,MEDIUM,Excavation,Utility strike,Utility verification not completed,Ground Disturbance
1490,The lifting plan was reviewed and the exclusion zone maintained during safety verification.,LOW,Safety Verification,Dropped load,No barrier failure / control effective,Line of Fire
1491,A permit review found that a technician left tools unsecured on the containers while stacking the pallets. Follow-up identified inadequate tool control.,HIGH,Material Handling,Falling object,Tool control inadequate,
1492,a worker flagged that the trench had no ladder access while setting up the work area.,MEDIUM,Worksite Control,Utility strike,Utility verification not completed,Ground Disturbance
1493,"During the walk-down, a technician verified that mechanical handling aids were available during manual handling.",LOW,Manual Handling,Musculoskeletal Injury,No barrier failure / control effective,
1494,a safety officer was not wearing the respirator in the dusty area during the PPE inspection. The finding cited degraded equipment condition.,MEDIUM,PPE,PPE deficiency,Equipment condition degraded,No clear Life-Saving Rule detected
1495,an operator used a lift assist for the heavy load while lifting the heavy component.,LOW,Manual Handling,Musculoskeletal Injury,No barrier failure / control effective,
1496,The shift handover mentioned that an operator moved along the edge of the platform with no fall-arrest system in use during the scaffolding work. The finding cited edge protection was missing.,HIGH,Work at Height,Fall from height,Edge protection absent,Working at Height
1497,a technician used the harness without inspecting it while assessing the release. It was noted that a PPE compliance issue.,MEDIUM,Gas Leak Response,PPE deficiency,PPE compliance issue,No clear Life-Saving Rule detected
1498,a technician accessed the scaffold while the edge protection was missing during the scheduled inspection.,HIGH,Equipment Inspection,Fall from height,Fall protection absent,Working at Height
1499,"During the walk-down, the team performed a two-person lift following procedure while carrying the load.",LOW,Manual Handling,Musculoskeletal Injury,No barrier failure / control effective,
1500,A worker reported that a worker started hot work while combustible material remained nearby during hot work. Follow-up identified combustible materials were not controlled.,HIGH,Hot Work,Fire or explosion,Combustible control failed,Hot Work
1501,"During the walk-down, a technician reported that the ventilation in the chamber was running below capacity while entering the chamber. The event traced back to a failure in communication or handover.",MEDIUM,Confined Space Entry,Hazardous atmosphere,Communication/handover failed,Confined Space
1502,a worker verified the edge protection was intact during while accessing the upper platform.,LOW,Work at Height,Fall from height,No barrier failure / control effective,Working at Height
1503,a safety officer confirmed the work was conducted safely during the control check.,LOW,Safety Verification,None identified,No barrier failure / control effective,
1504,A permit review found that a spotter operated the excavator while a worker was inside the swing radius while the truck was moving. Follow-up identified the stop-work control was not effective.,HIGH,Vehicle Movement,Vehicle-pedestrian collision,Stop-work control failed,Line of Fire
1505,A worker reported that a technician observed a damaged cable on the energized line during circuit repair. It was noted that the energy isolation control was degraded.,MEDIUM,Electrical Maintenance,Electric shock or arc flash,Energy isolation control degraded,Energy Isolation
1506,A permit review found that a technician verified the atmospheric readings were within safe limits before while entering the vessel.,LOW,Confined Space Entry,Hazardous atmosphere,No barrier failure / control effective,Confined Space
1507,A permit review found that a ground worker started digging before the underground utilities were located while digging the trench. It was noted that underground utility verification was not completed.,HIGH,Excavation,Utility strike,Utility verification failed,Ground Disturbance
1508,a technician found the guard on the rotating shaft was damaged while aligning the components. It was noted that the guarding was degraded.,MEDIUM,Mechanical Maintenance,Entanglement,Guarding degraded,Line of Fire
1509,A near miss occurred when the guarding interlock was verified before the run during the mechanical repair.,LOW,Mechanical Maintenance,Entanglement,No barrier failure / control effective,Line of Fire
1510,an operator cleared a blockage while the conveyor was still running while operating the press.,HIGH,Machine Operation,Entanglement,Energy isolation failed,Line of Fire
1511,A supervisor observed that a worker noted that the lockout was incomplete before the start test during maintenance. The finding cited the energy isolation control was degraded.,MEDIUM,Maintenance,Unexpected startup,Energy isolation control degraded,Energy Isolation
1512,a worker confirmed the drain was clear in the work area during the shift cleanup.,LOW,Housekeeping,Slip hazard,No barrier failure / control effective,
1513,a worker transferred the chemical while the containment bund was damaged during the vessel clean-out. This was linked to a lapse in permit control.,HIGH,Chemical Maintenance,Chemical exposure,Permit control failed,Toxic Gas
1514,A worker reported that a worker found the traffic segregation barrier displaced while the truck was moving.,MEDIUM,Vehicle Movement,Vehicle-pedestrian collision,Traffic segregation control degraded,Line of Fire
1515,The shift handover mentioned that a chemical handler confirmed the required PPE was worn throughout while transferring the chemical.,LOW,Chemical Handling,PPE deficiency,No barrier failure / control effective,
1516,An observation from the safety patrol noted that a spotter drove through the pedestrian crossing without stopping during the yard move. The observation was attributed to the traffic segregation controls had broken down.,HIGH,Vehicle Movement,Vehicle-pedestrian collision,Traffic segregation failed,Line of Fire
1517,A permit review found that a fitter found the restart procedure was not followed during the maintenance shutdown. The event traced back to the energy isolation control was degraded.,MEDIUM,Maintenance,Unexpected startup,Energy isolation control degraded,Energy Isolation
1518,"During the walk-down, an operator confirmed the ventilation remained operational throughout during leak investigation.",LOW,Gas Leak Response,Hazardous atmosphere,No barrier failure / control effective,Toxic Gas
1519,An inspection noted that a fire warden began work although the rescue plan was not established during the fire drill. Follow-up identified no emergency rescue plan was in place.,HIGH,Fire Safety,Delayed rescue,Emergency/rescue plan absent,
1520,a safety officer flagged that the guardrail on the unit was weakened during equipment inspection. This was linked to the required inspection was not completed.,MEDIUM,Equipment Inspection,Fall from height,Inspection not completed,Working at Height
1521,"During the walk-down, an operator used a lift assist for the heavy load during manual handling.",LOW,Manual Handling,Musculoskeletal Injury,No barrier failure / control effective,
1522,A supervisor observed that a panel operator observed the relief valve fail during the pressure test during process operation. The event traced back to a lapse in permit control.,HIGH,Process Operation,Pressure release,Permit control failed,Energy Isolation
1523,A permit review found that a technician handled the heavy object without a mechanical aid during the material transfer. Follow-up identified a previously identified corrective action was not closed out.,MEDIUM,Manual Handling,Musculoskeletal Injury,Corrective action not completed,
1524,An observation from the safety patrol noted that a warehouse attendant verified that waste was segregated properly during storage activity.,LOW,Storage,Poor housekeeping condition,No barrier failure / control effective,
1525,"During the walk-down, a worker carried the load alone without assistance during manual handling. This was linked to a previously identified corrective action was not closed out.",MEDIUM,Manual Handling,Musculoskeletal Injury,Corrective action not completed,
1526,An inspection noted that a ground worker worked in the trench without confirming the utility depth during excavation. This was linked to underground utility verification was not completed.,HIGH,Excavation,Utility strike,Utility verification failed,Ground Disturbance
1527,A permit review found that an operator verified the edge protection was intact during during elevated maintenance.,LOW,Work at Height,Fall from height,No barrier failure / control effective,Working at Height
1528,a crane operator entered the exclusion zone while the load was being lifted during the critical lift. It was noted that a failure to maintain the exclusion zone.,HIGH,Lifting Operation,Dropped load,Exclusion zone failed,Lifting Operations
1529,a worker flagged that the emergency stop was not tested while the equipment was being worked on. It was noted that the energy isolation control was degraded.,MEDIUM,Maintenance,Unexpected startup,Energy isolation control degraded,Energy Isolation
1530,A supervisor observed that a cleaner verified the walkway was clear after the task during the shift cleanup.,LOW,Housekeeping,Slip hazard,No barrier failure / control effective,
1531,A supervisor observed that a responder entered the release point before gas testing was carried out during leak investigation. Follow-up identified gas testing had not been performed before the task.,HIGH,Gas Leak Response,Hazardous atmosphere,Gas testing absent,Toxic Gas
1532,a supervisor noted corrosion on the pressurized line during the permit check. The finding cited the energy isolation control was degraded.,MEDIUM,Permit to Work,Pressure release,Energy isolation control degraded,Energy Isolation
1533,A near miss occurred when a mechanic confirmed the guard was in place before start-up during the mechanical repair.,LOW,Mechanical Maintenance,Entanglement,No barrier failure / control effective,Line of Fire
1534,a fitter started the unit while the isolation lock was not in place during maintenance. The finding cited the stop-work control was not effective.,HIGH,Maintenance,Unexpected startup,Stop-work control failed,Energy Isolation
1535,an operator observed the emergency stop not working properly while the unit was down.,MEDIUM,Equipment Maintenance,Equipment failure,Equipment condition degraded,Energy Isolation
1536,The spill was cleaned up promptly after being reported during the shift cleanup.,LOW,Housekeeping,Slip hazard,No barrier failure / control effective,
1537,The shift handover mentioned that a panel operator worked in the area without respiratory protection during the release during process operation. The event traced back to a PPE compliance issue.,HIGH,Process Operation,Chemical exposure,PPE compliance issue,Toxic Gas
1538,a panel operator found the chemical container unlabeled during the shift. The finding cited a PPE compliance issue.,MEDIUM,Process Operation,Chemical exposure,PPE compliance issue,Toxic Gas
1539,A near miss occurred when a supervisor confirmed the work area was clean after the task while managing the work zone.,LOW,Worksite Control,Poor housekeeping condition,No barrier failure / control effective,
1540,A near miss occurred when a supervisor worked in the trench without confirming the utility depth during the excavation work. This was linked to a lapse in permit control.,HIGH,Excavation,Utility strike,Permit control failed,Ground Disturbance
1541,A permit review found that a mechanic observed loose clothing near the rotating equipment while aligning the components. This was linked to the required inspection was not completed.,MEDIUM,Mechanical Maintenance,Entanglement,Inspection not completed,Line of Fire
1542,A supervisor observed that an excavator operator verified the trench support before entry while working in the trench.,LOW,Excavation,Utility strike,No barrier failure / control effective,Ground Disturbance
1543,a technician worked close to the moving parts without guarding during the mechanical repair. Follow-up identified the energy isolation was not applied.,HIGH,Mechanical Maintenance,Entanglement,Energy isolation failed,Line of Fire
1544,An inspection noted that a material handler observed a dropped tool in the vicinity during material handling. It was noted that inadequate housekeeping controls.,MEDIUM,Material Handling,Falling object,Housekeeping control inadequate,
1545,A supervisor observed that an operator verified the atmospheric readings were within safe limits before while assessing the release.,LOW,Gas Leak Response,Hazardous atmosphere,No barrier failure / control effective,Toxic Gas
1546,A permit review found that a worker observed a worker without eye protection near the safety harness during the PPE inspection. The event traced back to a PPE compliance issue.,MEDIUM,PPE,PPE deficiency,PPE compliance issue,
1547,An observation from the safety patrol noted that a rigger guided the suspended load by hand from within its path while the crane was positioning the load. The observation was attributed to the pre-lift inspection was skipped.,HIGH,Lifting Operation,Dropped load,Lifting inspection failed,Lifting Operations
1548,an attendant removed a minor obstruction from the walkway during routine housekeeping rounds.,LOW,Housekeeping,Slip hazard,No barrier failure / control effective,
1549,a spotter reversed the truck while a worker was in the blind spot while the vehicle was reversing. The observation was attributed to the traffic segregation controls had broken down.,HIGH,Vehicle Movement,Vehicle-pedestrian collision,Traffic segregation failed,Line of Fire
1550,A permit review found that a worker reported that the ventilation in the vessel was running below capacity during confined-space entry. This was linked to the gas testing was not completed.,MEDIUM,Confined Space Entry,Hazardous atmosphere,Gas testing not completed,Confined Space
1551,A supervisor observed that eye wash and PPE were verified before chemical handling during chemical handling.,LOW,Chemical Handling,Chemical exposure,No barrier failure / control effective,Toxic Gas
1552,A worker reported that a safety officer entered the riser with no attendant present during the fire drill. This was linked to no emergency rescue plan was in place.,HIGH,Fire Safety,Delayed rescue,Emergency/rescue plan absent,
1553,A near miss occurred when a lifting supervisor observed the load swaying while the tag line was not used during the lifting operation.,MEDIUM,Lifting Operation,Dropped load,Lifting inspection not completed,Lifting Operations
1554,A permit review found that a supervisor confirmed the utilities were marked before digging during the excavation work.,LOW,Excavation,Utility strike,No barrier failure / control effective,Ground Disturbance
1555,A near miss occurred when a worker reported a slippery surface near the cleaning area during the shift cleanup. Follow-up identified a previously identified corrective action was not closed out.,MEDIUM,Housekeeping,Slip hazard,Corrective action not completed,
1556,"During the walk-down, a supervisor observed the excavator bucket contact an unidentified service line during excavation. The observation was attributed to underground utility verification was not completed.",HIGH,Excavation,Utility strike,Utility verification failed,Ground Disturbance
1557,a machine operator checked that the guards were fit before operating while operating the press.,LOW,Machine Operation,Equipment failure,No barrier failure / control effective,Energy Isolation
1558,A permit review found that a fire warden started hot work while combustible material remained nearby while inspecting the extinguishers. This was linked to combustible materials were not controlled.,HIGH,Fire Safety,Fire or explosion,Combustible control failed,Hot Work
1559,A near miss occurred when an equipment operator noted that the enclosure around the unit was incomplete during the operational shift. The observation was attributed to a PPE compliance issue.,MEDIUM,Equipment Operation,Noise exposure,PPE compliance issue,
1560,A near miss occurred when a worker used a lift assist for the heavy load during manual handling.,LOW,Manual Handling,Musculoskeletal Injury,No barrier failure / control effective,
1561,a crane operator observed the crane load passing directly over personnel while the load was being moved. The observation was attributed to a failure to maintain the exclusion zone.,HIGH,Lifting Operation,Dropped load,Exclusion zone failed,Lifting Operations
1562,"During the walk-down, a worker noticed the reversing alarm was not audible during the yard move. The finding cited the traffic segregation control was degraded.",MEDIUM,Vehicle Movement,Vehicle-pedestrian collision,Traffic segregation control degraded,Line of Fire
1563,a cleaner removed a minor obstruction from the walkway during the shift cleanup.,LOW,Housekeeping,Slip hazard,No barrier failure / control effective,
1564,A supervisor observed that a ground worker struck the buried cable while excavating while working in the trench. It was noted that the excavation was not properly supported.,HIGH,Excavation,Utility strike,Excavation support failed,Ground Disturbance
1565,an operator observed loose clothing near the rotating equipment while the machine was running. Follow-up identified the required inspection was not completed.,MEDIUM,Machine Operation,Entanglement,Inspection not completed,Line of Fire
1566,A permit review found that combustible materials were cleared from the hot work zone during the grinding operation.,LOW,Hot Work,Fire or explosion,No barrier failure / control effective,Hot Work
1567,A permit review found that a technician began welding while no fire watch was stationed while performing hot work. The finding cited a lapse in permit control.,HIGH,Hot Work,Fire or explosion,Permit control failed,Hot Work
1568,a welder noted that the fire watch had not been briefed before while performing hot work. Follow-up identified the combustible material control was degraded.,MEDIUM,Hot Work,Fire or explosion,Combustible control degraded,Hot Work
1569,a traffic marshal verified the required checks were completed before during worksite setup.,LOW,Worksite Control,None identified,No barrier failure / control effective,
1570,a worker confirmed the spotter was in position before reversing during vehicle movement.,LOW,Vehicle Movement,Vehicle-pedestrian collision,No barrier failure / control effective,Line of Fire
1571,an entrant entered the space despite the gas monitor alarm remaining active during confined-space entry. Follow-up identified a lapse in permit control.,HIGH,Confined Space Entry,Hazardous atmosphere,Permit control failed,Confined Space
1572,An observation from the safety patrol noted that a supervisor was not wearing the respirator in the dusty area during the shift.,MEDIUM,PPE,PPE deficiency,PPE compliance issue,
1573,a driver confirmed the spotter was in position before reversing during vehicle movement.,LOW,Vehicle Movement,Vehicle-pedestrian collision,No barrier failure / control effective,Line of Fire
1574,An inspection noted that a driver drove through the pedestrian crossing without stopping during vehicle movement. This was linked to the traffic segregation controls had broken down.,HIGH,Vehicle Movement,Vehicle-pedestrian collision,Traffic segregation failed,Line of Fire
1575,An observation from the safety patrol noted that a storekeeper flagged that the workbench was cluttered in the storage area. The observation was attributed to a previously identified corrective action was not closed out.,MEDIUM,Storage,Poor housekeeping condition,Corrective action not completed,
1576,an attendant verified the walkway was clear after the task in the common work area.,LOW,Housekeeping,Slip hazard,No barrier failure / control effective,
1577,A near miss occurred when an authorized worker disconnected the line while pressure remained in it during permit issuance. The event traced back to a lapse in permit control.,HIGH,Permit to Work,Pressure release,Permit control failed,Energy Isolation
1578,A supervisor observed that a worker flagged that the emergency stop was not tested while the equipment was being worked on. The observation was attributed to the energy isolation control was degraded.,MEDIUM,Maintenance,Unexpected startup,Energy isolation control degraded,Energy Isolation
1579,a worker verified that waste was segregated properly while stacking the materials.,LOW,Storage,Poor housekeeping condition,No barrier failure / control effective,
1580,an operator entered the machine danger zone without isolation while the machine was running.,HIGH,Machine Operation,Entanglement,Energy isolation failed,Line of Fire
1581,A supervisor observed that a maintenance technician found the restart procedure was not followed while servicing the machine. It was noted that the energy isolation control was degraded.,MEDIUM,Equipment Maintenance,Unexpected startup,Energy isolation control degraded,Energy Isolation
1582,The shift handover mentioned that the guarding interlock was verified before the run while aligning the components.,LOW,Mechanical Maintenance,Entanglement,No barrier failure / control effective,Line of Fire
1583,A near miss occurred when an operator moved along the edge of the platform with no fall-arrest system in use while working at height. Follow-up identified a failure of safe access controls.,HIGH,Work at Height,Fall from height,Safe access control failed,Working at Height
1584,a craftsman found objects stored above head height without a toe board while using hand tools.,MEDIUM,Hand Tools,Falling object,Housekeeping control inadequate,
1585,Gas testing was completed and the space was declared safe during the confined-space prep.,LOW,Ventilation,Hazardous atmosphere,No barrier failure / control effective,Confined Space
1586,an operator reached into the cabinet while the busbar remained energized while servicing the machine. The observation was attributed to a lapse in permit control.,HIGH,Equipment Maintenance,Electric shock or arc flash,Permit control failed,Energy Isolation
1587,A supervisor observed that a worker found combustible items stored too close to the hot work area while welding. This was linked to the combustible material control was degraded.,MEDIUM,Hot Work,Fire or explosion,Combustible control degraded,Hot Work
1588,A permit review found that a safety officer confirmed the required PPE was worn throughout while checking PPE compliance.,LOW,PPE,PPE deficiency,No barrier failure / control effective,
1589,a worker handled the heavy object without a mechanical aid while carrying the load. The event traced back to the manual handling control was inadequate.,MEDIUM,Manual Handling,Musculoskeletal Injury,Manual handling control inadequate,
1590,A supervisor observed that a worker used rigging on the load that showed signs of wear before the lift while the crane was positioning the load.,HIGH,Lifting Operation,Dropped load,Exclusion zone failed,Lifting Operations
1591,a technician confirmed the guard was in place before start-up during machine operation.,LOW,Machine Operation,Entanglement,No barrier failure / control effective,Line of Fire
1592,a technician lifted the container using an awkward posture while carrying the load. This was linked to a previously identified corrective action was not closed out.,MEDIUM,Manual Handling,Musculoskeletal Injury,Corrective action not completed,
1593,The shift handover mentioned that an operator verified that mechanical handling aids were available during manual handling.,LOW,Manual Handling,Musculoskeletal Injury,No barrier failure / control effective,
1594,a ventilation technician entered the air mover before gas testing was carried out during ventilation verification. The finding cited gas testing had not been performed before the task.,HIGH,Ventilation,Hazardous atmosphere,Gas testing absent,Confined Space
1595,a worker stood below the load while it was suspended while the load was being moved. The observation was attributed to a failure to maintain the exclusion zone.,HIGH,Lifting Operation,Dropped load,Exclusion zone failed,Lifting Operations
1596,A supervisor observed that an attendant found debris scattered across the access path in the common work area. The event traced back to a previously identified corrective action was not closed out.,MEDIUM,Housekeeping,Slip hazard,Corrective action not completed,
1597,An observation from the safety patrol noted that a worker confirmed the ventilation remained operational throughout during confined-space entry.,LOW,Confined Space Entry,Hazardous atmosphere,No barrier failure / control effective,Confined Space
1598,"During the walk-down, a maintenance technician performed repair work on the circuit without a voltage check during the maintenance shutdown. Follow-up identified a lapse in permit control.",HIGH,Equipment Maintenance,Electric shock or arc flash,Permit control failed,Energy Isolation
1599,An inspection noted that a maintenance technician flagged abnormal vibration from the equipment during the maintenance shutdown. This was linked to the required inspection was not completed.,MEDIUM,Equipment Maintenance,Equipment failure,Inspection not completed,Energy Isolation
1600,A near miss occurred when noise levels were checked and controls verified during equipment operation.,LOW,Equipment Operation,Noise exposure,No barrier failure / control effective,
1601,A supervisor observed that a worker accessed the scaffold while the edge protection was missing during elevated maintenance. The observation was attributed to fall protection was not in place.,HIGH,Work at Height,Fall from height,Fall protection absent,Working at Height
1602,a technician observed the emergency stop not working properly during equipment inspection. The observation was attributed to the required inspection was not completed.,MEDIUM,Equipment Inspection,Equipment failure,Inspection not completed,
1603,A near miss occurred when noise levels were checked and controls verified while running the equipment.,LOW,Equipment Operation,Noise exposure,No barrier failure / control effective,
1604,A worker reported that a cleaner observed an obstruction blocking the aisle in the common work area.,MEDIUM,Housekeeping,Slip hazard,Housekeeping control inadequate,No clear Life-Saving Rule detected
1605,a technician used a lift assist for the heavy load during manual handling.,LOW,Manual Handling,Musculoskeletal Injury,No barrier failure / control effective,
1606,An inspection noted that an inspector worked beside an open edge while the guardrail was absent during the check. The event traced back to edge protection was missing.,HIGH,Equipment Inspection,Fall from height,Edge protection absent,Working at Height
1607,An inspection noted that an entrant worked in the area while the toxic-gas reading exceeded limits during confined-space entry.,HIGH,Confined Space Entry,Hazardous atmosphere,Ventilation inadequate,Confined Space
1608,A near miss occurred when a cleaner observed an obstruction blocking the aisle in the common work area. The event traced back to a previously identified corrective action was not closed out.,MEDIUM,Housekeeping,Slip hazard,Corrective action not completed,No clear Life-Saving Rule detected
1609,a driver confirmed the spotter was in position before reversing while the truck was moving.,LOW,Vehicle Movement,Vehicle-pedestrian collision,No barrier failure / control effective,Line of Fire
1610,The shift handover mentioned that a worker lifted the heavy component using an awkward posture while lifting the heavy component. This was linked to a previously identified corrective action was not closed out.,MEDIUM,Manual Handling,Musculoskeletal Injury,Corrective action not completed,
1611,An observation from the safety patrol noted that a worker worked on the elevated platform without any fall protection while working at height. The event traced back to edge protection was missing.,HIGH,Work at Height,Fall from height,Edge protection absent,Working at Height
1612,A worker reported that a technician confirmed the ventilation remained operational throughout during confined-space entry.,LOW,Confined Space Entry,Hazardous atmosphere,No barrier failure / control effective,Confined Space
1613,a technician ran the equipment although the brake was reportedly faulty during the production run.,HIGH,Machine Operation,Equipment failure,Guarding failed,Energy Isolation
1614,an attendant flagged uneven flooring in the work area in the common work area. Follow-up identified inadequate housekeeping controls.,MEDIUM,Housekeeping,Slip hazard,Housekeeping control inadequate,
1615,a worker confirmed the required PPE was worn throughout while welding.,LOW,Hot Work,PPE deficiency,No barrier failure / control effective,
1616,a chemical handler observed the drum leaking while it was being moved during chemical handling.,HIGH,Chemical Handling,Chemical exposure,Permit control failed,Toxic Gas
1617,An inspection noted that a worker noticed a tripping hazard from trailing cables while clearing the workspace.,MEDIUM,Housekeeping,Slip hazard,Housekeeping control inadequate,No clear Life-Saving Rule detected
1618,an auditor checked that the tag line was rigged before lifting during the field verification.,LOW,Safety Verification,Dropped load,No barrier failure / control effective,Line of Fire
1619,a technician opened the chemical line without confirming isolation during process operation. The event traced back to a lapse in permit control.,HIGH,Process Operation,Chemical exposure,Permit control failed,Toxic Gas
1620,A near miss occurred when a safety officer observed residual flammable vapors near the work zone while inspecting the extinguishers. The event traced back to the combustible material control was degraded.,MEDIUM,Fire Safety,Fire or explosion,Combustible control degraded,Hot Work
1621,Housekeeping standards were maintained during storage activity.,LOW,Storage,Poor housekeeping condition,No barrier failure / control effective,
1622,"During the walk-down, a maintenance technician operated the unit while maintenance was still in progress during the repair job. The finding cited the energy isolation was not applied.",HIGH,Maintenance,Unexpected startup,Energy isolation failed,Energy Isolation
1623,A supervisor observed that an operator found the guard on the line was damaged while the machine was running. The event traced back to the required inspection was not completed.,MEDIUM,Machine Operation,Entanglement,Inspection not completed,Line of Fire
1624,Gas testing was completed and the space was declared safe during confined-space entry.,LOW,Confined Space Entry,Hazardous atmosphere,No barrier failure / control effective,Confined Space
1625,A worker reported that a scaffolder worked on the elevated platform without any fall protection while working at height. This was linked to edge protection was missing.,HIGH,Work at Height,Fall from height,Edge protection absent,Working at Height
1626,A permit review found that a technician observed loose clothing near the rotating equipment while aligning the components. The finding cited the guarding was degraded.,MEDIUM,Mechanical Maintenance,Entanglement,Guarding degraded,Line of Fire
1627,an operator confirmed that fall protection was inspected and in place before during the scaffolding work.,LOW,Work at Height,Fall from height,No barrier failure / control effective,Working at Height
1628,a supervisor confirmed the work was conducted safely while managing the work zone.,LOW,Worksite Control,None identified,No barrier failure / control effective,
1629,A supervisor observed that a traffic marshal completed while setting up the work area with all controls in place.,LOW,Worksite Control,None identified,No barrier failure / control effective,
1630,a cleaner found water pooling on the walkway while clearing the workspace. The observation was attributed to inadequate housekeeping controls.,MEDIUM,Housekeeping,Slip hazard,Housekeeping control inadequate,No clear Life-Saving Rule detected
1631,A near miss occurred when the team performed a two-person lift following procedure during the material transfer.,LOW,Manual Handling,Musculoskeletal Injury,No barrier failure / control effective,
1632,An observation from the safety patrol noted that a technician worked close to the moving parts without guarding while the machine was running. This was linked to the energy isolation was not applied.,HIGH,Machine Operation,Entanglement,Energy isolation failed,Line of Fire
1633,The shift handover mentioned that a worker observed the crane load passing directly over personnel while the load was being moved.,HIGH,Lifting Operation,Dropped load,Exclusion zone failed,Lifting Operations
1634,an operator used the harness without inspecting it during chemical handling. The finding cited degraded equipment condition.,MEDIUM,Chemical Handling,PPE deficiency,Equipment condition degraded,No clear Life-Saving Rule detected
1635,The fall-arrest system was checked and found compliant while working at height.,LOW,Work at Height,Fall from height,No barrier failure / control effective,Working at Height
1636,a worker carried out hot work near the work piece without an extinguisher close by during hot work.,HIGH,Hot Work,Fire or explosion,Permit control failed,Hot Work
1637,a worker performed the task without the required gloves while checking PPE compliance.,MEDIUM,PPE,PPE deficiency,Equipment condition degraded,
1638,A worker reported that a technician confirmed the fire watch and extinguishers were in place before while welding.,LOW,Hot Work,Fire or explosion,No barrier failure / control effective,Hot Work
